iter	RMSE
243	3875.340143
244	3872.178261
245	3868.289243
246	3863.556135
247	3859.878134
248	3857.373527
249	3856.158364
250	3854.774084
251	3853.79592
252	3851.641644
253	3849.672179
254	3844.793923
255	3844.03122
256	3839.91409
257	3839.443737
258	3838.116274
259	3835.651637
260	3831.581341
261	3828.252384
262	3824.563239
263	3823.795346
264	3819.460036
265	3818.724593
266	3817.619779
267	3814.718153
268	3811.314084
269	3810.917918
270	3809.980801
271	3809.13787
272	3804.269543
273	3803.488893
274	3802.83323
275	3801.386815
276	3800.70315
277	3796.074877
278	3795.12225
279	3792.121001
280	3785.523836
281	3781.633225
282	3778.282582
283	3777.432904
284	3774.910011
285	3773.6393
286	3769.388633
287	3766.336006
288	3765.678365
289	3762.614774
290	3761.932287
291	3761.278033
292	3758.575557
293	3756.041171
294	3754.575553
295	3752.236996
296	3749.740212
297	3745.488097
298	3744.818455
299	3741.258478
300	3740.002728
301	3738.400588
302	3737.19309
303	3735.747587
304	3734.474973
305	3732.154236
306	3731.760421
307	3730.804001
308	3729.829415
309	3729.254663
310	3727.84802
311	3724.868571
312	3720.824563
313	3718.725329
314	3718.547932
315	3717.908559
316	3717.219698
317	3716.662293
318	3714.05473
319	3708.058653
320	3707.442934
321	3700.700875
322	3699.620858
323	3699.025869
324	3698.281647
325	3696.758134
326	3693.242317
327	3691.296898
328	3690.542417
329	3688.163754
330	3686.288559
331	3684.513012
332	3683.54443
333	3680.931826
334	3677.979395
335	3676.930392
336	3676.054343
337	3673.903393
338	3673.408594
339	3667.742051
340	3666.142341
341	3663.480475
342	3662.531636
343	3660.184206
344	3658.368783
345	3652.642791
346	3652.004297
347	3650.240324
348	3646.482697
349	3645.81762
350	3645.038336
351	3641.951671
352	3639.99481
353	3639.386663
354	3633.880312
355	3631.693595
356	3631.161699
357	3630.482445
358	3628.594514
359	3627.975708
360	3626.548443
361	3623.138798
362	3621.229041
363	3615.981262
364	3615.284714
365	3611.306642
366	3608.119745
367	3605.203098
368	3600.170757
369	3594.072212
370	3593.629316
371	3593.12861
372	3590.609545
373	3590.100601
374	3589.29591
375	3583.690478
376	3581.836069
377	3579.39327
378	3577.897893
379	3576.816404
380	3575.016085
381	3572.427652
382	3570.676803
383	3565.736505
384	3564.16146
385	3560.762416
386	3560.300303
387	3559.874864
388	3559.345775
389	3556.440215
390	3555.891841
391	3553.81502
392	3552.561968
393	3549.082982
394	3547.314146
395	3544.777792
396	3544.315561
397	3540.420129
398	3537.204553
399	3532.583623
400	3526.705402
401	3524.320052
402	3523.731251
403	3523.305553
404	3522.264553
405	3521.071087
406	3520.689866
407	3519.625873
408	3517.258315
409	3513.080258
410	3510.881766
411	3510.381023
412	3509.488912
413	3506.294328
414	3505.521371
415	3503.780982
416	3501.983435
417	3501.583095
418	3501.050089
419	3499.640595
420	3497.984094
421	3492.958551
422	3492.590607
423	3492.074804
424	3490.056416
425	3486.50938
426	3486.184436
427	3483.073491
428	3479.03279
429	3478.536148
430	3476.104833
431	3475.639775
432	3474.697585
433	3472.929622
434	3472.605357
435	3471.010464
436	3468.722572
437	3464.729357
438	3464.257078
439	3463.924989
440	3463.592931
441	3463.444961
442	3463.145382
443	3461.683929
444	3461.155289
445	3460.154476
446	3459.197694
447	3458.870149
448	3458.427053
449	3456.651401
450	3453.837119
451	3453.357219
452	3452.612216
453	3450.970971
454	3450.324427
455	3448.776755
456	3446.718016
457	3446.100908
458	3442.048678
459	3441.032856
460	3440.63125
461	3439.673437
462	3439.150539
463	3434.886187
464	3433.528979
465	3433.220781
466	3432.781435
467	3429.112201
468	3428.649693
469	3426.883498
470	3426.362325
471	3424.691792
472	3424.304731
473	3420.966965
474	3418.330094
475	3414.982166
476	3411.818129
477	3407.74934
478	3407.125298
479	3404.260253
480	3401.376616
481	3400.35864
482	3397.723752
483	3393.77437
484	3391.268124
485	3389.318336
486	3388.757942
487	3385.668749
488	3383.595624
489	3379.11344
490	3377.071764
491	3375.374284
492	3373.754553
493	3372.133112
494	3370.304564
495	3369.900304
496	3368.549668
497	3367.938833
498	3365.955964
499	3365.031587
500	3364.288114
501	3358.950926
502	3357.2573
503	3354.285874
504	3352.153417
505	3347.409704
506	3347.162669
507	3344.738675
508	3344.469933
509	3343.081878
510	3339.480668
511	3339.123605
512	3338.717758
513	3335.003782
514	3334.910595
515	3334.507794
516	3331.870082
517	3330.727204
518	3330.348349
519	3329.917478
520	3329.661665
521	3329.29151
522	3327.272459
523	3324.474473
524	3321.08771
525	3318.092503
526	3316.604915
527	3313.912044
528	3312.351993
529	3309.762429
530	3307.913212
531	3306.336853
532	3302.879708
533	3300.911249
534	3297.653778
535	3296.751066
536	3295.25675
537	3290.843967
538	3288.026287
539	3286.688569
540	3284.462329
541	3282.72294
542	3280.903963
543	3280.566362
544	3277.423696
545	3276.266198
546	3271.539262
547	3270.476261
548	3269.331824
549	3267.937048
550	3266.842815
551	3265.541473
552	3265.183757
553	3263.637694
554	3261.440688
555	3260.378558
556	3257.928268
557	3257.496623
558	3256.522924
559	3255.475732
560	3253.974674
561	3252.24864
562	3249.981584
563	3248.516913
564	3247.166269
565	3245.775243
566	3243.139208
567	3242.897217
568	3239.421048
569	3237.950739
570	3237.635234
571	3235.304182
572	3232.609822
573	3231.002212
574	3229.545395
575	3228.175227
576	3226.625869
577	3224.271757
578	3222.894682
579	3221.46524
580	3220.316318
581	3216.731965
582	3213.6872
583	3211.752957
584	3211.339466
585	3209.851721
586	3208.522029
587	3207.435398
588	3205.867596
589	3203.929015
590	3202.59588
591	3201.892526
592	3200.80112
593	3200.55078
594	3200.306512
595	3198.996305
596	3198.318178
597	3196.021247
598	3193.186863
599	3191.205644
600	3190.332648
601	3188.383652
602	3187.13304
603	3184.855524
604	3183.388344
605	3181.994568
606	3180.972468
607	3179.669336
608	3177.080251
609	3175.745048
610	3175.142035
611	3173.810718
612	3173.521409
613	3172.775868
614	3170.99673
615	3168.680341
616	3168.408258
617	3165.61634
618	3162.383042
619	3161.174369
620	3160.152816
621	3159.69248
622	3158.947389
623	3158.728364
624	3156.255396
625	3153.095314
626	3151.37534
627	3147.395334
628	3145.755059
629	3143.281614
630	3142.981655
631	3142.025403
632	3140.376209
633	3139.995652
634	3139.767749
635	3137.337342
636	3135.93421
637	3132.871807
638	3132.069977
639	3129.786413
640	3127.670751
641	3127.468483
642	3126.256889
643	3124.780677
644	3124.480149
645	3123.300127
646	3120.552688
647	3119.365892
648	3117.812814
649	3115.055775
650	3114.325966
651	3112.728814
652	3110.376282
653	3109.524956
654	3108.508993
655	3108.214168
656	3105.00646
657	3104.365348
658	3103.858913
659	3102.649277
660	3100.314037
661	3097.748237
662	3097.465874
663	3097.22933
664	3095.241828
665	3092.719301
666	3090.519849
667	3089.960271
668	3088.655888
669	3087.322784
670	3085.484573
671	3083.802418
672	3082.460553
673	3081.522463
674	3079.925676
675	3078.005758
676	3077.81992
677	3076.804484
678	3076.379478
679	3075.38094
680	3071.984983
681	3069.407534
682	3066.919012
683	3066.373541
684	3065.067649
685	3062.929207
686	3061.825933
687	3060.677504
688	3058.325912
689	3057.645121
690	3056.096815
691	3053.688653
692	3052.851607
693	3051.571437
694	3050.660743
695	3050.148093
696	3047.24098
697	3047.066845
698	3046.845465
699	3046.536839
700	3044.916448
701	3043.889104
702	3041.241372
703	3039.479696
704	3038.401536
705	3036.858666
706	3034.692364
707	3031.037092
708	3028.958377
709	3028.658163
710	3025.941014
711	3022.859902
712	3020.589583
713	3019.393068
714	3018.804627
715	3016.59499
716	3013.107604
717	3011.397325
718	3009.870642
719	3009.61779
720	3008.008205
721	3004.688611
722	3002.968444
723	3002.085323
724	3000.842958
725	2999.952119
726	2996.9897
727	2994.47406
728	2993.042845
729	2991.848484
730	2990.582543
731	2989.334593
732	2988.707955
733	2987.468309
734	2986.426795
735	2985.630696
736	2981.94851
737	2981.314273
738	2979.633761
739	2978.490116
740	2978.273128
741	2977.797319
742	2976.70701
743	2974.762059
744	2973.674844
745	2972.615918
746	2972.090175
747	2969.185967
748	2966.841804
749	2964.975493
750	2961.702435
751	2959.325679
752	2958.787985
753	2958.581045
754	2955.394313
755	2952.692539
756	2951.710798
757	2950.11838
758	2948.764112
759	2948.295134
760	2947.07419
761	2946.341689
762	2943.695623
763	2942.871879
764	2942.258239
765	2941.134594
766	2939.99816
767	2937.194438
768	2935.228909
769	2934.116925
770	2932.964875
771	2931.792024
772	2929.346657
773	2928.641742
774	2927.863182
775	2926.977605
776	2924.72193
777	2923.22195
778	2921.614674
779	2919.318393
780	2916.411493
781	2914.33693
782	2913.748242
783	2913.510925
784	2912.598273
785	2911.221281
786	2910.945284
787	2908.882163
788	2908.641609
789	2906.415205
790	2904.007471
791	2902.830385
792	2901.644331
793	2900.567631
794	2899.111563
795	2895.864854
796	2893.652732
797	2893.456345
798	2892.541815
799	2891.132199
800	2888.592229
801	2886.03996
802	2884.862079
803	2883.706279
804	2882.64144
805	2881.977844
806	2880.925245
807	2880.193843
808	2877.915745
809	2877.068953
810	2875.923052
811	2875.041252
812	2874.133513
813	2872.340736
814	2871.204937
815	2870.424605
816	2868.828878
817	2867.095213
818	2866.869047
819	2865.695594
820	2864.303999
821	2862.884611
822	2862.081991
823	2860.135539
824	2857.502814
825	2855.386537
826	2854.739275
827	2852.816703
828	2851.755082
829	2849.231112
830	2847.385277
831	2846.569307
832	2845.779745
833	2843.906428
834	2843.310919
835	2842.345606
836	2840.732428
837	2840.082874
838	2838.187479
839	2837.303076
840	2836.288882
841	2835.308446
842	2834.247183
843	2832.025923
844	2830.310138
845	2828.617849
846	2827.594018
847	2825.326902
848	2822.866658
849	2820.780079
850	2818.396049
851	2815.701171
852	2814.617203
853	2813.810114
854	2812.043961
855	2810.362057
856	2808.796099
857	2807.219724
858	2804.258099
859	2803.381986
860	2801.30545
861	2799.997669
862	2799.098627
863	2796.813877
864	2795.320958
865	2794.043664
866	2792.593706
867	2791.734266
868	2790.89357
869	2790.299117
870	2788.314595
871	2787.536705
872	2786.784076
873	2785.701591
874	2785.052397
875	2783.120275
876	2781.939355
877	2780.500293
878	2779.232692
879	2777.617384
880	2776.967906
881	2775.134968
882	2774.315376
883	2773.812743
884	2773.018185
885	2772.041129
886	2770.80797
887	2769.343068
888	2767.155396
889	2765.069462
890	2764.90096
891	2764.100248
892	2763.083559
893	2762.918596
894	2762.153292
895	2759.317028
896	2758.309206
897	2757.252517
898	2756.29369
899	2756.114375
900	2755.199887
901	2754.172652
902	2752.137382
903	2751.095368
904	2749.534314
905	2747.3886
906	2746.003509
907	2744.220058
908	2742.694788
909	2741.206899
910	2739.385838
911	2737.08818
912	2735.168589
913	2734.152667
914	2733.347347
915	2732.630325
916	2730.545635
917	2728.470544
918	2727.939127
919	2726.039174
920	2725.261922
921	2724.200184
922	2723.920742
923	2723.758737
924	2722.049543
925	2721.053348
926	2719.505459
927	2718.623838
928	2717.166612
929	2716.373669
930	2713.867166
931	2710.336448
932	2709.658614
933	2709.279927
934	2708.361131
935	2706.012579
936	2704.310834
937	2702.881794
938	2700.98629
939	2700.071955
940	2697.732396
941	2697.011992
942	2696.010655
943	2695.235392
944	2694.596723
945	2693.891312
946	2692.871209
947	2692.413987
948	2691.309468
949	2690.751786
950	2688.892474
951	2687.410259
952	2686.010344
953	2685.298025
954	2683.275972
955	2680.192891
956	2679.335637
957	2678.38586
958	2676.75217
959	2675.05344
960	2674.903594
961	2672.971721
962	2671.143422
963	2668.932544
964	2668.018055
965	2666.130268
966	2664.221049
967	2663.428582
968	2662.710578
969	2660.209166
970	2659.603428
971	2657.842206
972	2656.062252
973	2653.416087
974	2652.614431
975	2650.676063
976	2648.971191
977	2646.993644
978	2644.58585
979	2644.035382
980	2642.221191
981	2641.572625
982	2640.634068
983	2638.514025
984	2638.366137
985	2637.378231
986	2636.743927
987	2634.34415
988	2633.99405
989	2633.060748
990	2632.64042
991	2630.801398
992	2628.033081
993	2626.239306
994	2624.323145
995	2623.717391
996	2623.063186
997	2621.232874
998	2620.285994
999	2618.724634
